,地区,每平方米单价(单位:元),总价(单位:万元),面积(单位:平方米)
0,伍家岗区,10899.9,123.17,110.71
1,西陵区,10239.1,108.58,106.98
2,夷陵区,7516.4,95.6,125.2
3,宜都市,5068.5,59.29,117.79
4,枝江市,4454.9,50.3,113.29
5,秭归县,5815.4,67.69,115.89
6,当阳市,5205.0,58.72,114.08
