,地区,每平方米单价(单位:元),总价(单位:万元),面积(单位:平方米)
0,雨花,11550.1,122.72,102.97
1,开福,12331.9,145.26,113.2
2,岳麓,12085.4,128.92,103.56
3,天心,11670.7,133.51,110.45
4,芙蓉,10858.8,106.81,98.6
5,长沙县,9433.1,107.43,109.6
