,室厅厨卫 布局,数量
0,3室2厅1厨2卫,5692
1,2室2厅1厨1卫,1963
2,3室2厅1厨1卫,1451
3,4室2厅1厨2卫,1429
4,1室1厅1厨1卫,921
5,2室1厅1厨1卫,415
6,2室2厅1厨2卫,405
7,4室2厅1厨3卫,342
8,1室0厅1厨1卫,133
9,5室2厅1厨3卫,131
