area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]"
三乡镇,66.0,110.0,11.0,3.0
三角镇,82.0,47.0,2.0,0.0
东凤镇,38.0,82.0,1.0,0.0
东区,260.0,553.0,244.0,100.0
东升镇,258.0,476.0,14.0,2.0
五桂山,35.0,46.0,6.0,2.0
南区,55.0,335.0,62.0,7.0
南朗镇,101.0,296.0,16.0,6.0
坦洲镇,335.0,1779.0,149.0,23.0
横栏镇,242.0,192.0,5.0,0.0
沙溪镇,352.0,594.0,80.0,32.0
港口镇,102.0,699.0,81.0,9.0
火炬,593.0,1850.0,431.0,144.0
石岐区,445.0,791.0,210.0,66.0
西区,408.0,621.0,73.0,25.0
黄圃镇,62.0,45.0,0.0,0.0
