area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]"
兴宁区,153,213,18,12
江南区,429,624,10,8
良庆区,144,320,65,18
西乡塘区,169,166,6,1
邕宁区,29,100,34,7
青秀区,294,1152,442,103
