,室厅厨卫 布局,数量
0,3室2厅1厨1卫,3360
1,2室2厅1厨1卫,2104
2,2室1厅1厨1卫,1033
3,3室1厅1厨1卫,756
4,3室2厅1厨2卫,703
5,4室2厅1厨2卫,185
6,1室1厅1厨1卫,114
7,4室2厅1厨1卫,52
8,1室2厅1厨1卫,29
9,4室3厅1厨2卫,25
