,室厅厨卫 布局,数量
0,3室2厅1厨2卫,651
1,2室2厅1厨1卫,366
2,3室2厅1厨1卫,337
3,4室2厅1厨2卫,239
4,1室1厅1厨1卫,179
5,2室1厅1厨1卫,132
6,3室1厅1厨1卫,51
7,4室2厅1厨1卫,21
8,5室2厅1厨2卫,20
9,4室2厅1厨3卫,16
