,室厅厨卫 布局,数量
0,3室2厅1厨2卫,1313
1,4室2厅1厨2卫,506
2,1室1厅1厨1卫,396
3,2室1厅1厨1卫,239
4,2室2厅1厨1卫,181
5,3室2厅1厨1卫,165
6,3室1厅1厨2卫,100
7,4室2厅1厨3卫,75
8,3室1厅1厨1卫,69
9,2室2厅1厨2卫,66
