area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]"
南湖区,505,1264,850,215
嘉善县,414,1774,298,67
平湖市,77,236,48,5
桐乡市,101,214,142,30
海宁市,168,692,157,53
秀洲区,334,959,340,62
