,地区,每平方米单价(单位:元),总价(单位:万元),面积(单位:平方米)
0,洪山,21884.5,246.1,106.52
1,江岸,21912.5,224.21,98.76
2,东湖高新,20336.9,225.63,108.94
3,武昌,25297.8,262.45,100.66
4,江汉,22030.3,233.45,102.28
5,汉阳,18512.7,193.71,101.96
6,东西湖,15605.6,180.88,113.51
7,黄陂,11646.8,122.65,103.92
8,硚口,19920.3,186.39,92.06
9,江夏,14603.7,177.83,116.77
10,沌口开发区,15169.4,156.36,101.37
11,蔡甸,11801.3,153.21,119.71
12,新洲,7710.7,81.01,105.86
13,青山,19171.7,184.59,96.63
