area1,"(0, 10000]","(10000, 20000]","(20000, 30000]"
东湖高新,33.0,4386.0,4032.0
东西湖,75.0,4639.0,528.0
新洲,773.0,49.0,0.0
武昌,1.0,1623.0,3129.0
汉阳,49.0,4219.0,1489.0
江夏,108.0,3209.0,123.0
江岸,4.0,4523.0,3264.0
江汉,2.0,2815.0,2639.0
沌口开发区,255.0,2052.0,212.0
洪山,64.0,4895.0,5550.0
硚口,8.0,2159.0,1156.0
蔡甸,878.0,1481.0,106.0
青山,3.0,434.0,308.0
黄陂,831.0,3350.0,43.0
