,室厅厨卫 布局,数量
0,3室2厅1厨2卫,2559
1,2室2厅1厨1卫,2333
2,2室1厅1厨1卫,1818
3,3室2厅1厨1卫,1753
4,1室1厅1厨1卫,1547
5,4室2厅1厨2卫,1020
6,3室1厅1厨1卫,507
7,4室2厅1厨3卫,158
8,5室2厅1厨3卫,112
9,5室2厅1厨2卫,106
