area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]","(400, 500]"
惠山,283,984,174,38,49
新吴,707,1527,367,89,24
梁溪,1196,1505,717,274,110
滨湖,764,1109,934,396,138
锡山,154,878,204,36,24
