,室厅厨卫 布局,数量
0,3室2厅1厨2卫,1159
1,2室2厅1厨1卫,956
2,2室1厅1厨1卫,610
3,3室2厅1厨1卫,585
4,1室1厅1厨1卫,527
5,4室2厅1厨2卫,417
6,1室0厅1厨1卫,244
7,3室1厅1厨1卫,147
8,1室0厅0厨1卫,125
9,1室1厅0厨1卫,64
