area1,"(0, 100]","(100, 200]","(200, 300]"
洛龙区,531.0,1002.0,254.0
涧西区,1365.0,608.0,94.0
瀍河回族区,130.0,49.0,3.0
老城区,190.0,43.0,0.0
西工区,607.0,301.0,9.0
