,室厅厨卫 布局,数量
0,2室1厅1厨1卫,2004
1,2室2厅1厨1卫,879
2,1室1厅1厨1卫,780
3,3室2厅1厨1卫,414
4,3室2厅1厨2卫,348
5,3室1厅1厨1卫,184
6,4室2厅1厨2卫,74
7,2室2厅1厨2卫,35
8,3室3厅1厨2卫,23
9,1室0厅1厨1卫,21
