,地区,数量
2,南开,3365
8,河东,3042
10,河西,2866
16,西青,2740
7,武清,2593
13,滨海新区,2349
9,河北,2101
0,东丽,2028
1,北辰,1756
11,津南,1626
4,塘沽,1341
3,和平,1301
14,红桥,1281
5,宝坻,1257
15,蓟州,732
6,开发区,363
12,海河教育园区,144
17,静海,144
