,室厅厨卫 布局,数量
0,2室1厅1厨1卫,11450
1,1室1厅1厨1卫,6297
2,2室2厅1厨1卫,3778
3,3室2厅1厨2卫,2762
4,3室2厅1厨1卫,1858
5,3室1厅1厨1卫,1555
6,4室2厅1厨2卫,475
7,3室1厅1厨2卫,406
8,2室2厅1厨2卫,355
9,2室1厅1厨2卫,294
