,地区,每平方米单价(单位:元),总价(单位:万元),面积(单位:平方米)
0,长安,17207.7,164.13,94.62
1,裕华,17864.1,183.97,102.21
2,新华,16575.1,152.86,91.02
3,桥西,17191.0,165.3,94.41
4,开发区,15595.9,182.15,115.55
5,正定,14100.2,165.88,115.37
6,鹿泉,11942.5,134.9,112.51
7,栾城,11269.1,126.73,114.07
8,藁城,10942.4,116.68,105.58
