area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]"
开发区,152.0,825.0,290.0,58.0
新华,848.0,1457.0,413.0,83.0
栾城,159.0,421.0,17.0,11.0
桥西,648.0,1419.0,532.0,116.0
正定,126.0,812.0,160.0,10.0
藁城,178.0,214.0,18.0,0.0
裕华,487.0,1914.0,801.0,217.0
长安,958.0,2412.0,764.0,187.0
鹿泉,189.0,480.0,25.0,15.0
