,室厅厨卫 布局,数量
0,3室2厅1厨2卫,632
1,2室2厅1厨1卫,512
2,3室2厅1厨1卫,165
3,4室2厅1厨2卫,123
4,2室1厅1厨1卫,86
5,2室2厅1厨2卫,53
6,1室1厅1厨1卫,50
7,3室1厅1厨2卫,14
8,3室1厅1厨1卫,9
9,4室2厅1厨3卫,9
