,室厅厨卫 布局,数量
0,3室2厅1厨2卫,2112
1,4室2厅1厨2卫,961
2,1室1厅1厨1卫,923
3,3室2厅1厨1卫,680
4,2室2厅1厨1卫,600
5,2室1厅1厨1卫,469
6,1室0厅1厨1卫,261
7,4室2厅1厨3卫,227
8,3室1厅1厨1卫,146
9,2室2厅1厨2卫,113
