area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]"
丰泽区,793.0,1135.0,616.0,178.0
南安市,156.0,41.0,1.0,0.0
晋江市,1436.0,1649.0,205.0,59.0
洛江区,153.0,269.0,55.0,5.0
石狮市,163.0,98.0,11.0,4.0
鲤城区,222.0,230.0,62.0,15.0
