area1,"(0, 100]","(100, 200]","(200, 300]"
南岗,4590.0,1837.0,376.0
呼兰区,1496.0,52.0,0.0
松北,1106.0,1562.0,204.0
道外,7144.0,1004.0,121.0
道里,4469.0,2182.0,549.0
阿城区,1144.0,3.0,0.0
香坊,4471.0,1004.0,55.0
