,室厅厨卫 布局,数量
0,3室2厅1厨2卫,1716
1,3室2厅1厨1卫,1258
2,2室2厅1厨1卫,934
3,4室2厅1厨2卫,887
4,2室1厅1厨1卫,338
5,1室1厅1厨1卫,313
6,3室1厅1厨1卫,183
7,5室2厅1厨2卫,139
8,1室0厅1厨1卫,96
9,4室2厅1厨1卫,83
