,地区,每平方米单价(单位:元),总价(单位:万元),面积(单位:平方米)
0,赛罕区,12215.4,138.38,112.32
1,新城区,12785.0,127.88,101.15
2,回民区,9605.3,94.35,96.72
3,玉泉区,9620.8,84.28,86.65
4,金川开发区,7665.6,68.22,89.64
