,室厅厨卫 布局,数量
0,2室1厅1厨1卫,2325
1,3室2厅1厨2卫,813
2,2室2厅1厨1卫,766
3,1室1厅1厨1卫,499
4,3室2厅1厨1卫,411
5,3室1厅1厨1卫,207
6,4室2厅1厨2卫,206
7,2室2厅1厨2卫,131
8,3室1厅1厨2卫,80
9,1室0厅1厨1卫,59
