area1,"(0, 100]","(100, 200]","(200, 300]"
回民区,510.0,234.0,7.0
新城区,697.0,1002.0,145.0
玉泉区,518.0,167.0,8.0
赛罕区,852.0,1148.0,206.0
金川开发区,326.0,8.0,0.0
