area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]"
渭城区,306.0,49.0,0.0,1.0
秦都区,982.0,245.0,8.0,3.0
西咸新区（咸阳）,479.0,566.0,51.0,30.0
