,地区,每平方米单价(单位:元),总价(单位:万元),面积(单位:平方米)
0,秦都区,7676.5,80.47,103.63
1,西咸新区（咸阳）,10938.5,134.53,119.12
2,渭城区,7315.2,77.12,104.9
