area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]","(400, 500]"
三水,341.0,423.0,14.0,7.0,1.0
南海,2257.0,4637.0,2661.0,825.0,384.0
禅城,1513.0,2052.0,941.0,212.0,58.0
顺德,1356.0,3341.0,1242.0,376.0,154.0
高明,79.0,53.0,6.0,3.0,0.0
