,室厅厨卫 布局,数量
0,3室2厅1厨2卫,1674
1,2室2厅1厨1卫,1469
2,3室2厅1厨1卫,944
3,2室1厅1厨1卫,596
4,4室2厅1厨2卫,514
5,1室1厅1厨1卫,304
6,3室1厅1厨1卫,141
7,2室2厅1厨2卫,56
8,4室2厅1厨1卫,51
9,5室2厅1厨2卫,39
