,室厅厨卫 布局,数量
0,3室2厅1厨2卫,13941
1,2室2厅1厨1卫,10696
2,2室1厅1厨1卫,8126
3,3室2厅1厨1卫,6497
4,4室2厅1厨2卫,6009
5,1室1厅1厨1卫,5453
6,3室1厅1厨1卫,2239
7,1室0厅1厨1卫,2210
8,3室1厅1厨2卫,1823
9,2室2厅1厨2卫,1381
