area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]"
九龙坡,2284.0,3298.0,332.0,84.0
北碚,1747.0,1069.0,185.0,57.0
南岸,3025.0,5772.0,1280.0,322.0
合川,286.0,1.0,0.0,0.0
大渡口,618.0,834.0,79.0,21.0
巴南,1812.0,1332.0,119.0,31.0
江北,1672.0,4461.0,1404.0,486.0
江津,2349.0,349.0,38.0,9.0
沙坪坝,3597.0,3568.0,609.0,214.0
渝中,918.0,1576.0,520.0,162.0
渝北,3181.0,9235.0,2914.0,1024.0
璧山,397.0,52.0,2.0,1.0
长寿,1013.0,11.0,0.0,0.0
