area1,"(0, 10000]","(10000, 20000]","(20000, 30000]"
中原,303,6010,389
中牟县,1819,821,12
二七,273,6945,384
惠济,37,2008,298
新郑市,1440,1167,38
管城回族区,106,6365,217
经开区,5,1095,109
航空港区,130,291,1
荥阳市,868,95,2
郑东新区,348,1921,3108
金水,380,16132,2454
高新,47,1513,50
