,地区,每平方米单价(单位:元),总价(单位:万元),面积(单位:平方米)
0,金水,16095.2,164.48,99.96
1,二七,14470.5,126.71,86.61
2,中原,14579.5,135.44,92.61
3,管城回族区,14911.1,141.84,93.92
4,郑东新区,22388.0,273.27,115.51
5,中牟县,9503.6,111.47,115.44
6,新郑市,10545.6,123.52,111.31
7,惠济,16026.4,209.39,120.38
8,高新,14745.6,139.49,94.46
9,经开区,16591.0,219.64,125.74
10,荥阳市,7701.7,98.05,126.91
11,航空港区,10792.9,115.08,105.62
