area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]"
中原,2214,3701,688,87
中牟县,1477,1045,89,20
二七,3212,3592,665,112
惠济,368,1370,320,125
新郑市,1245,1228,83,44
管城回族区,2153,3351,1024,133
经开区,140,590,349,71
航空港区,205,205,8,2
荥阳市,641,293,15,7
郑东新区,972,1783,1495,942
金水,5943,8361,3254,957
高新,403,1060,119,20
