,室厅厨卫 布局,数量
0,3室2厅1厨1卫,2383
1,2室2厅1厨1卫,1198
2,3室2厅1厨2卫,933
3,4室2厅1厨2卫,519
4,2室1厅1厨1卫,500
5,1室1厅1厨1卫,386
6,3室1厅1厨1卫,287
7,4室2厅1厨1卫,223
8,5室2厅1厨2卫,99
9,5室3厅1厨2卫,49
