,室厅厨卫 布局,数量
0,2室1厅1厨1卫,6271
1,2室2厅1厨1卫,5177
2,1室1厅1厨1卫,3770
3,3室2厅1厨2卫,3049
4,3室2厅1厨1卫,2229
5,3室1厅1厨1卫,708
6,4室2厅1厨2卫,576
7,1室0厅1厨1卫,464
8,2室2厅1厨2卫,307
9,3室1厅1厨2卫,156
