area1,"(0, 10000]","(10000, 20000]"
于洪,2186,797
和平,216,2173
大东,2104,869
沈北新区,2336,277
沈河,1441,1181
浑南,1028,1913
皇姑,1469,853
苏家屯,918,25
铁西,1337,1606
