area1,"(0, 100]","(100, 200]","(200, 300]"
于洪,2223,730,29
和平,745,1310,591
大东,2137,781,57
沈北新区,2302,270,31
沈河,1959,671,121
浑南,1220,1402,294
皇姑,1675,576,84
苏家屯,771,160,7
铁西,1840,1039,84
