area1,"(10000, 20000]","(20000, 30000]","(30000, 40000]","(40000, 50000]","(50000, 60000]"
六合,590.0,43.0,0.0,0.0,0.0
建邺,15.0,318.0,798.0,1039.0,737.0
栖霞,144.0,1316.0,1149.0,219.0,19.0
江宁,1925.0,7446.0,2086.0,254.0,27.0
浦口,846.0,5022.0,390.0,38.0,0.0
溧水,436.0,10.0,0.0,0.0,0.0
玄武,17.0,484.0,818.0,311.0,82.0
秦淮,13.0,657.0,1526.0,526.0,175.0
雨花台,135.0,1061.0,812.0,205.0,28.0
鼓楼,32.0,704.0,1026.0,623.0,403.0
