,地区,每平方米单价(单位:元),总价(单位:万元),面积(单位:平方米)
0,江宁,25788.8,277.09,106.1
1,浦口,23892.3,249.06,104.02
2,鼓楼,45261.9,421.33,93.87
3,建邺,44429.7,515.44,113.15
4,秦淮,36831.7,347.62,92.69
5,栖霞,30510.1,342.93,107.89
6,雨花台,30205.4,296.37,95.82
7,玄武,35891.5,368.18,100.05
8,六合,15239.7,140.11,92.81
9,溧水,11813.6,139.22,114.53
