,室厅厨卫 布局,数量
0,2室1厅1厨1卫,5935
1,2室2厅1厨1卫,3730
2,1室1厅1厨1卫,2657
3,3室2厅1厨2卫,1333
4,3室2厅1厨1卫,1263
5,3室1厅1厨1卫,511
6,4室2厅1厨2卫,277
7,2室2厅1厨2卫,269
8,1室2厅1厨1卫,85
9,1室0厅1厨1卫,84
