,室厅厨卫 布局,数量
0,2室1厅1厨1卫,12157
1,1室1厅1厨1卫,8232
2,2室2厅1厨1卫,8097
3,3室2厅1厨2卫,6228
4,3室2厅1厨1卫,2787
5,3室1厅1厨1卫,2069
6,2室2厅1厨2卫,1572
7,4室2厅1厨2卫,1291
8,1室0厅1厨1卫,1258
9,2室0厅1厨1卫,1058
