area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]","(400, 500]","(500, 600]","(600, 700]","(700, 800]"
吉阳,10,86,91,33,19,14,8,4
天涯,23,130,121,75,31,10,8,3
