area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]"
云龙区,1052,1391,235,37
新城区,176,761,244,51
泉山区,2902,2207,507,158
金山桥开发区,366,509,33,12
铜山区,620,726,155,98
鼓楼区,1792,1448,174,43
