,地区,每平方米单价(单位:元),总价(单位:万元),面积(单位:平方米)
0,奎文区,7586.9,78.54,98.95
1,潍城区,6296.5,61.57,93.45
2,高新技术产业开发区,9146.0,115.03,122.96
3,寿光市,5275.1,64.3,116.24
4,寒亭区,6906.2,71.4,101.26
5,坊子区,7145.9,86.49,118.03
