,室厅厨卫 布局,数量
0,3室2厅1厨2卫,1384
1,2室2厅1厨1卫,462
2,4室2厅1厨2卫,384
3,3室2厅1厨1卫,316
4,1室1厅1厨1卫,241
5,2室1厅1厨1卫,121
6,1室0厅1厨1卫,88
7,5室2厅1厨2卫,70
8,2室2厅1厨2卫,39
9,5室2厅1厨3卫,37
