area1,"(0, 10000]","(10000, 20000]","(20000, 30000]"
双流,869,4905,160
天府新区,153,3653,753
天府新区南区,114,87,15
彭州,537,36,2
成华,292,5209,1235
新津,289,276,5
新都,1253,3352,49
武侯,214,4418,1499
温江,1473,3948,105
简阳,528,537,2
郫都,2242,4132,120
都江堰,1734,590,15
金牛,232,5560,858
锦江,130,2648,1622
青白江,1183,130,1
青羊,137,3275,1936
高新,28,3681,2802
高新西,571,887,136
龙泉驿,858,3208,216
