,地区,数量
16,高新,7334
4,成华,6870
12,金牛,6741
10,郫都,6512
7,武侯,6258
0,双流,5943
8,温江,5529
15,青羊,5521
13,锦江,5112
1,天府新区,4721
6,新都,4667
18,龙泉驿,4300
11,都江堰,2341
17,高新西,1602
14,青白江,1314
9,简阳,1067
3,彭州,575
5,新津,572
2,天府新区南区,223
