area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]","(400, 500]","(500, 600]"
余姚市,44,100,23,5,1,2
北仑区,396,1007,399,155,53,17
慈溪市,135,170,73,17,7,1
江北区,49,308,160,63,37,14
海曙区,126,816,627,139,56,20
鄞州区,332,938,1311,790,314,131
镇海区,30,230,147,25,12,3
