area1,"(0, 10000]","(10000, 20000]","(20000, 30000]"
余姚市,50,122,2
北仑区,242,1359,418
慈溪市,168,230,8
江北区,1,274,325
海曙区,6,864,879
鄞州区,35,865,2562
镇海区,7,359,80
