area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]","(400, 500]","(500, 600]"
斗门区,326.0,561.0,55.0,7.0,2.0,0.0
金湾区,53.0,90.0,19.0,0.0,1.0,0.0
香洲区,525.0,1679.0,1407.0,688.0,383.0,269.0
