,室厅厨卫 布局,数量
0,3室2厅1厨2卫,1543
1,2室2厅1厨1卫,1006
2,3室2厅1厨1卫,948
3,4室2厅1厨2卫,676
4,1室1厅1厨1卫,658
5,2室1厅1厨1卫,378
6,1室0厅1厨1卫,250
7,4室2厅1厨3卫,191
8,3室1厅1厨1卫,127
9,5室2厅1厨3卫,100
