area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]","(400, 500]","(500, 600]","(600, 700]","(700, 800]"
上城,6,182,341,217,151,90,111,56
下城,75,457,678,433,211,136,94,54
临安,29,276,107,12,11,7,16,8
余杭,831,1981,3307,1614,522,209,134,82
富阳,28,57,50,22,7,8,5,5
拱墅,59,487,561,536,404,188,97,54
江干,139,532,1079,908,419,229,124,67
滨江,25,385,314,350,307,313,181,124
萧山,217,653,828,744,401,169,87,48
西湖,70,341,646,915,595,396,300,191
钱塘新区,351,462,699,403,170,57,39,21
