,室厅厨卫 布局,数量
0,2室2厅1厨1卫,1902
1,3室2厅1厨2卫,991
2,3室2厅1厨1卫,879
3,2室1厅1厨1卫,538
4,1室1厅1厨1卫,417
5,4室2厅1厨2卫,337
6,1室0厅1厨1卫,209
7,2室2厅1厨2卫,115
8,3室1厅1厨1卫,110
9,1室2厅1厨1卫,38
