,室厅厨卫 布局,数量
0,3室2厅1厨1卫,1614
1,3室2厅1厨2卫,1276
2,2室2厅1厨1卫,1016
3,2室1厅1厨1卫,863
4,4室2厅1厨2卫,494
5,3室1厅1厨1卫,419
6,1室1厅1厨1卫,109
7,4室2厅1厨1卫,75
8,5室2厅1厨2卫,70
9,4室2厅1厨3卫,37
