area1,"(0, 100]","(100, 200]","(200, 300]"
二道区,1926,1029,76
净月区,532,1731,347
南关区,1177,1802,256
宽城区,2314,635,25
朝阳区,1637,1127,296
汽车产业开发区,1935,1007,41
经开北区,253,113,2
经开区,1516,1356,46
绿园区,2008,945,69
高新北区,420,377,9
高新区,862,1198,187
