area1,"(0, 10000]","(10000, 20000]"
二道区,1425,1607
净月区,672,2074
南关区,1024,2289
宽城区,1976,1001
朝阳区,1121,1551
汽车产业开发区,1767,1217
经开北区,168,200
经开区,1155,1789
绿园区,2053,971
高新北区,178,625
高新区,573,1727
