,地区,每平方米单价(单位:元),总价(单位:万元),面积(单位:平方米)
0,南关区,11762.4,132.71,109.54
1,朝阳区,14142.3,127.09,91.66
2,二道区,10530.5,94.32,87.93
3,绿园区,9590.2,90.81,93.67
4,汽车产业开发区,9823.2,91.63,92.1
5,宽城区,9703.5,82.49,84.12
6,经开区,10782.8,105.31,97.18
7,净月区,13186.7,193.41,136.35
8,高新区,12073.6,137.18,110.75
9,高新北区,11069.6,103.42,93.13
10,经开北区,10126.8,94.85,92.76
