area1,"(0, 10000]","(10000, 20000]","(20000, 30000]"
历下,2,799,2309
历城,94,3710,783
天桥,100,3459,616
市中,21,2061,2338
槐荫,47,3451,533
章丘,123,191,7
长清,41,417,4
高新,42,1202,1031
