area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]","(400, 500]"
历下,428,1246,967,531,317
历城,659,2645,1060,138,51
天桥,1074,2284,672,125,24
市中,456,1883,1486,641,268
槐荫,619,2330,869,153,57
章丘,100,147,27,16,18
长清,83,311,44,12,6
高新,528,679,636,276,110
