,室厅厨卫 布局,数量
0,3室2厅1厨2卫,535
1,2室2厅1厨1卫,509
2,1室1厅1厨1卫,348
3,3室2厅1厨1卫,281
4,1室0厅1厨1卫,251
5,4室2厅1厨2卫,238
6,2室1厅1厨1卫,164
7,2室2厅1厨2卫,58
8,1室2厅1厨1卫,52
9,3室1厅1厨1卫,49
